Date,Ticker,prediction,actual_target,actual_return,portfolio_side
2025-10-03,GOOGL,-0.0017613470554351807,0.57690275,0.020705031,LONG
2025-10-03,XOM,-0.12472955137491226,-0.06781629,0.008299393,SHORT
2025-10-03,TSLA,-0.1465180367231369,2.33253,0.054486692,SHORT
2025-10-06,AVGO,0.009890973567962646,0.71821713,0.0027422984,LONG
2025-10-06,GOOGL,0.0015095323324203491,-0.76013315,-0.01864797,LONG
2025-10-06,XOM,-0.12378832697868347,0.5650054,0.0005254758,SHORT
2025-10-06,TSLA,-0.15202444791793823,-2.545383,-0.044478774,SHORT
2025-10-07,AVGO,0.010429531335830688,1.6154859,0.027020585,LONG
2025-10-07,GOOGL,0.0063343346118927,-0.9821971,-0.004638719,LONG
2025-10-07,XOM,-0.12208579480648041,-0.77393526,-0.0021005245,SHORT
2025-10-07,TSLA,-0.15314975380897522,0.4593658,0.012930352,SHORT
2025-10-08,GOOGL,0.007788345217704773,-1.0074978,-0.012631779,LONG
2025-10-08,AVGO,0.004711136221885681,-0.1453859,-0.0013892922,LONG
2025-10-08,XOM,-0.11925926059484482,-0.785368,-0.0097350655,SHORT
2025-10-08,TSLA,-0.15541568398475647,-0.5894719,-0.007180455,SHORT
2025-10-09,GOOGL,0.01115339994430542,0.9649424,-0.020535728,LONG
2025-10-09,AVGO,-0.0006649196147918701,-1.4660263,-0.05909802,LONG
2025-10-09,XOM,-0.11750084161758423,1.0423745,-0.019307427,SHORT
2025-10-09,TSLA,-0.15161895751953125,-0.9320033,-0.050626848,SHORT
2025-10-10,GOOGL,0.019519567489624023,0.0802485,0.032041237,LONG
2025-10-10,AVGO,2.8431415557861328e-05,2.4706705,0.09878936,LONG
2025-10-10,XOM,-0.11822190880775452,-0.5788653,0.013636697,SHORT
2025-10-10,TSLA,-0.1270981729030609,0.8737109,0.05419721,SHORT
2025-10-13,GOOGL,0.012728512287139893,1.161283,0.0053246077,LONG
2025-10-13,AAPL,-0.017579391598701477,0.8601387,0.00044413083,LONG
2025-10-13,XOM,-0.11603446304798126,0.8602259,0.00044554332,SHORT
2025-10-13,TSLA,-0.11950088292360306,-0.11002312,-0.015278743,SHORT
2025-10-14,GOOGL,0.012020781636238098,1.4677993,0.022733735,LONG
2025-10-14,AAPL,-0.010902270674705505,-0.13356806,0.0063365316,LONG
2025-10-14,TSLA,-0.10072432458400726,0.5922483,0.0137685295,SHORT
2025-10-14,XOM,-0.11819104850292206,-1.3438138,-0.0060557816,SHORT
2025-10-15,GOOGL,0.006387859582901001,0.6584092,0.0017129803,LONG
2025-10-15,AAPL,-0.00825759768486023,-0.25436696,-0.0075800004,LONG
2025-10-15,TSLA,-0.08729805052280426,-0.95445067,-0.014707558,SHORT
2025-10-15,XOM,-0.12017521262168884,-0.363491,-0.008690993,SHORT
2025-10-16,GOOGL,0.0051133036613464355,0.105036795,0.00731724,LONG
