fold,scheme,train_start,train_end,validation_start,validation_end,test_start,test_end,validation_sharpe,validation_cagr,validation_max_dd,test_sharpe,test_cagr,test_max_dd,test_total_return,test_hit_rate,test_turnover,test_cost
21,equal_weight,2020-10-16,2023-10-16,2023-10-16,2024-04-16,2024-04-16,2024-07-16,4.372248434376827,12.638134694094623,-0.5626191197350865,2.441871656442837,9.068978002240259,-0.8069499835902485,0.7650875320304438,0.5806451612903226,1.0,0.062000000000000006
21,ic_weighted,2020-10-16,2023-10-16,2023-10-16,2024-04-16,2024-04-16,2024-07-16,-2.5601942030832747,-0.7975310263086832,-0.7884019671713451,7.690582570807072,12539.370820297841,-0.657412169394018,9.193291834918023,0.6774193548387096,1.0,0.062000000000000006
21,icir_weighted,2020-10-16,2023-10-16,2023-10-16,2024-04-16,2024-04-16,2024-07-16,-2.4850744790296684,-0.806431572543971,-0.8112471111031836,8.45471689970361,25067.455747723256,-0.6093243078865556,11.087181400967575,0.6935483870967742,1.0,0.062000000000000006
22,equal_weight,2021-01-16,2024-01-16,2024-01-16,2024-07-16,2024-07-16,2024-10-16,3.111797426069913,13.211927258432247,-0.8069499835902484,0.7404068351230503,0.2536645478742221,-0.2020347437021761,0.060045613374494655,0.5230769230769231,1.0,0.065
22,ic_weighted,2021-01-16,2024-01-16,2024-01-16,2024-07-16,2024-07-16,2024-10-16,0.870925204516893,0.4723252477732891,-0.7910928579338801,13.460574917112794,371.1639267815275,-0.05725671051276693,3.603479588183184,0.8,1.0,0.065
22,icir_weighted,2021-01-16,2024-01-16,2024-01-16,2024-07-16,2024-07-16,2024-10-16,0.8818281622064921,0.48955672126894245,-0.7858689050904519,13.859661925351544,457.3778813339455,-0.05725671051276682,3.857655768849357,0.8153846153846154,1.0,0.065
23,equal_weight,2021-04-16,2024-04-16,2024-04-16,2024-10-16,2024-10-16,2025-01-16,1.785206832395624,2.4665439157187965,-0.8367011400017008,7.818245332177024,352.474209883248,-0.3916976269591217,3.2362043555137534,0.6129032258064516,1.0,0.062000000000000006
23,ic_weighted,2021-04-16,2024-04-16,2024-04-16,2024-10-16,2024-10-16,2025-01-16,2.513853617429171,6.535072348106202,-0.8381420657099639,7.252878671749579,233.31558589329182,-0.4084703042405309,2.8286557720245824,0.5806451612903226,1.0,0.062000000000000006
23,icir_weighted,2021-04-16,2024-04-16,2024-04-16,2024-10-16,2024-10-16,2025-01-16,2.1645518235977304,4.278225483854586,-0.8422660792295689,7.149492541248791,237.52950207412246,-0.4201742655777798,2.8454824575797306,0.5806451612903226,1.0,0.062000000000000006
24,equal_weight,2021-07-16,2024-07-16,2024-07-16,2025-01-16,2025-01-16,2025-04-16,4.86065274599028,18.693841910121094,-0.3916976269591216,-12.089145402426787,-0.9999957979251417,-0.970188205557355,-0.9524444282570992,0.16129032258064516,1.0,0.062000000000000006
24,ic_weighted,2021-07-16,2024-07-16,2024-07-16,2025-01-16,2025-01-16,2025-04-16,8.086026246869936,149.79355454285303,-0.3315057603060887,-11.223054507589966,-0.9999938256394534,-0.9695422185613681,-0.9477218451809211,0.22580645161290322,1.0,0.062000000000000006
24,icir_weighted,2021-07-16,2024-07-16,2024-07-16,2025-01-16,2025-01-16,2025-04-16,7.736137717868553,126.48132268375919,-0.3582058953830094,-10.716705468775025,-0.9999913193554096,-0.9690018686244941,-0.9431509639504618,0.22580645161290322,1.0,0.062000000000000006
25,equal_weight,2021-10-16,2024-10-16,2024-10-16,2025-04-16,2025-04-16,2025-07-16,-2.5704782318302413,-0.9614600844523669,-0.9826908942835346,8.567404930437998,826.2401962026217,-0.2720200760490432,4.08454506219854,0.6065573770491803,1.0,0.061000000000000006
25,ic_weighted,2021-10-16,2024-10-16,2024-10-16,2025-04-16,2025-04-16,2025-07-16,1.4457373787082233,1.6888070231444532,-0.9621771348519785,8.549252158673138,820.1120686998139,-0.36774574429957685,4.075401816745914,0.639344262295082,1.0,0.061000000000000006
25,icir_weighted,2021-10-16,2024-10-16,2024-10-16,2025-04-16,2025-04-16,2025-07-16,1.736348856161221,2.7047116346605145,-0.9599398503880735,8.414379136418528,715.9720685218653,-0.36774574429957685,3.911485238052941,0.639344262295082,1.0,0.061000000000000006
26,equal_weight,2022-01-16,2025-01-16,2025-01-16,2025-07-16,2025-07-16,2025-10-16,-2.1598569655492263,-0.9454453746681803,-0.970188205557355,4.4961695365662875,8.86750412852844,-0.2619370371528803,0.8048551933954564,0.6,1.0,0.065
26,ic_weighted,2022-01-16,2025-01-16,2025-01-16,2025-07-16,2025-07-16,2025-10-16,-0.05514529673909089,-0.428697825574862,-0.93200703425362,9.808256178812515,219.44851994449212,-0.13876904848677563,3.0218370715850185,0.7230769230769231,1.0,0.065
26,icir_weighted,2022-01-16,2025-01-16,2025-01-16,2025-07-16,2025-07-16,2025-10-16,0.39168022067001734,-0.08058954889754755,-0.9141835412035036,9.145799318372688,170.2382422380933,-0.1813682532409131,2.7681413051756047,0.7230769230769231,1.0,0.065
27,equal_weight,2022-04-16,2025-04-16,2025-04-16,2025-10-16,2025-10-16,2026-01-16,6.627329432467602,83.21489824245371,-0.2720200760490432,-3.3806714139154583,-0.8524933101249826,-0.564451029031108,-0.38026941597972674,0.4126984126984127,1.0,0.063
27,ic_weighted,2022-04-16,2025-04-16,2025-04-16,2025-10-16,2025-10-16,2026-01-16,6.340899972733121,79.95871961378913,-0.5653951349206452,-8.33566823586887,-0.9866185615680918,-0.712996445734166,-0.6598850672469221,0.2857142857142857,1.0,0.063
27,icir_weighted,2022-04-16,2025-04-16,2025-04-16,2025-10-16,2025-10-16,2026-01-16,6.35370641216064,79.98026892956962,-0.5746445236668736,-8.33566823586887,-0.9866185615680918,-0.712996445734166,-0.6598850672469221,0.2857142857142857,1.0,0.063
28,equal_weight,2022-07-16,2025-07-16,2025-07-16,2026-01-16,2026-01-16,2026-04-16,0.6702076222773591,0.24672428778797273,-0.5644510290311081,3.685736412612314,3.646358120950726,-0.19251437691149342,0.45038608666703106,0.5245901639344263,1.0,0.061000000000000006
28,ic_weighted,2022-07-16,2025-07-16,2025-07-16,2026-01-16,2026-01-16,2026-04-16,2.7964503332389117,3.1325236315189864,-0.6445183275550121,3.023743575148223,10.836454698149433,-0.623650598335399,0.8188118622417035,0.47540983606557374,1.0,0.061000000000000006
28,icir_weighted,2022-07-16,2025-07-16,2025-07-16,2026-01-16,2026-01-16,2026-04-16,2.7555663296214212,3.064205525370821,-0.6445183275550121,3.074666737055904,11.492316214143054,-0.6246833128848155,0.8427109924987042,0.47540983606557374,1.0,0.061000000000000006
29,equal_weight,2022-10-16,2025-10-16,2025-10-16,2026-04-16,2026-04-16,2026-07-16,-0.1911239630403056,-0.19484568172515038,-0.6369313668032492,-15.235970592093725,-0.9999964918611577,-0.9534932801667859,-0.9545100233361716,0.11290322580645161,1.0,0.062000000000000006
29,ic_weighted,2022-10-16,2025-10-16,2025-10-16,2026-04-16,2026-04-16,2026-07-16,-0.3059222269727407,-0.4116047634207801,-0.8625403296787504,-13.268676669154962,-0.9999580262062997,-0.9322251498854894,-0.9162251440110862,0.1935483870967742,1.0,0.062000000000000006
29,icir_weighted,2022-10-16,2025-10-16,2025-10-16,2026-04-16,2026-04-16,2026-07-16,-0.2606114388759987,-0.39002325565368,-0.8627009848430203,-13.587596821198764,-0.9999602753678569,-0.935271227363457,-0.9173526335948486,0.1774193548387097,1.0,0.062000000000000006
