Date,Ticker,prediction,position,portfolio_side,actual_return
2025-03-06,AVGO,-0.0050392150878906,0.0,FLAT,0.08643082
2025-03-06,AAPL,-0.0191191881895065,0.0,FLAT,0.015892623
2025-03-06,JPM,-0.0257598310708999,0.0,FLAT,-0.017279193
2025-03-06,AMZN,-0.0258201658725738,0.0,FLAT,-0.0072246986
2025-03-06,TSLA,-0.0333773493766784,0.0,FLAT,-0.002960709
2025-03-06,MSFT,-0.0439042747020721,-0.5,SHORT,-0.00902003
2025-03-06,XOM,-0.1109113097190857,-0.5,SHORT,0.013008837
2025-03-07,NVDA,0.0215110033750534,0.5,LONG,-0.05067006
2025-03-07,META,0.0089174658060073,0.5,LONG,-0.04422525
2025-03-07,GOOGL,0.0012702047824859,0.0,FLAT,-0.04485768
2025-03-07,AAPL,-0.0187744796276092,0.0,FLAT,-0.048479527
2025-03-07,AVGO,-0.0191181302070617,0.0,FLAT,-0.053908594
2025-03-07,JPM,-0.0267702490091323,0.0,FLAT,-0.041522194
2025-03-07,AMZN,-0.0284954011440277,0.0,FLAT,-0.023638679
2025-03-07,TSLA,-0.0353388786315918,0.0,FLAT,-0.15426207
2025-03-07,MSFT,-0.0475195050239563,-0.5,SHORT,-0.0334343
2025-03-07,XOM,-0.1067336052656173,-0.5,SHORT,0.025499893
2025-03-10,NVDA,0.0339635759592056,0.5,LONG,0.016638564
2025-03-10,META,0.0096134543418884,0.5,LONG,0.012909979
2025-03-10,GOOGL,0.0053489506244659,0.0,FLAT,-0.011032793
2025-03-10,AAPL,-0.0103599429130554,0.0,FLAT,-0.02918939
2025-03-10,AVGO,-0.0128488540649414,0.0,FLAT,0.030577354
2025-03-10,JPM,-0.0216969400644302,0.0,FLAT,-0.013263251
2025-03-10,AMZN,-0.0260257124900817,0.0,FLAT,0.010537695
2025-03-10,TSLA,-0.0300377905368804,0.0,FLAT,0.037947368
2025-03-10,MSFT,-0.0422755777835845,-0.5,SHORT,0.00076288055
2025-03-10,XOM,-0.1013357043266296,-0.5,SHORT,-0.023613693
2025-03-11,NVDA,0.0314090847969055,0.5,LONG,0.06427597
2025-03-11,GOOGL,0.0036884546279907,0.5,LONG,0.018715052
2025-03-11,META,-0.0006678402423858,0.0,FLAT,0.022865593
2025-03-11,AAPL,-0.0052069425582885,0.0,FLAT,-0.017478751
2025-03-11,AVGO,-0.0210000574588775,0.0,FLAT,0.02177929
